SCHOOL,COACH,ASST TOTAL PAY,ASST BONUS,ASST PAY TOTAL
Charlotte,Eddie Hicks,"$110,000 ","$5,500 ","$1,220,500 "
North Texas,Adrian Mayes,"$110,000 ","$9,167 ","$1,775,000 "
Nevada,Tommy Perry,"$109,273 ","$52,360 ","$1,472,524 "
Nevada,Mike Chamoures,"$109,273 ","$52,360 ","$1,472,524 "
Toledo,Mike Hallett,"$109,253 ",--,"$1,054,812 "
South Alabama,Chad Huff,"$108,700 ","$12,500 ","$1,242,200 "
Kent State,Bill O'Boyle,"$108,677 ",--,"$879,567 "
Ohio,Pete Germano,"$108,653 ",--,"$1,069,963 "
Middle Tennessee,Rick Mallory,"$108,650 ","$13,125 ","$1,299,850 "
San Jose State,Fred Guidici,"$108,180 ",--,"$1,594,572 "
Georgia Southern,Jeremy Rowell,"$108,000 ","$22,500 ","$1,350,000 "
Middle Tennessee,Mike Polly,"$107,900 ","$13,125 ","$1,299,850 "
New Mexico State,Andy Richman,"$107,500 ","$2,000 ","$862,501 "
South Alabama,Pete Bennett,"$107,500 ","$12,500 ","$1,242,200 "
Coastal Carolina,Curt Baldus,"$107,000 ",--,"$1,162,371 "
UL Lafayette,LaMar Morgan,"$106,500 ","$8,333 ","$1,751,500 "
San Diego State,Doug Deakin,"$106,104 ","$28,587 ","$1,801,636 "
Buffalo,Chris Simpson,"$105,429 ",--,"$1,148,761 "
Western Michigan,Bill Kenney,"$105,000 ","$5,000 ","$1,138,000 "
Memphis,Tony Tokarz,"$105,000 ","$8,750 ","$2,540,000 "
Florida International,Bryn Renner,"$105,000 ","$37,500 ","$1,661,122 "
Florida International,Drew Davis,"$105,000 ","$37,500 ","$1,661,122 "
Marshall,Kyle Segler,"$105,000 ","$17,500 ","$1,147,000 "
Texas-San Antonio,Rod Wright,"$105,000 ","$20,000 ","$1,310,200 "
Appalachian State,Greg Gasparato,"$104,990 ","$37,249 ","$1,144,990 "
Miami (Ohio),John Hauser,"$103,614 ","$19,000 ","$1,099,612 "
Western Michigan,Keith Gaither,"$102,000 ","$5,000 ","$1,138,000 "
Western Michigan,Mike Bath,"$102,000 ","$5,000 ","$1,138,000 "
Texas El Paso,Mike Simmonds,"$102,000 ",--,"$1,387,560 "
Western Michigan,Trevor Andrews,"$102,000 ","$5,000 ","$1,138,000 "
UAB,Larry Smith,"$101,250 ","$8,437 ","$1,270,250 "
UAB,Hindley Brigham,"$101,250 ","$8,437 ","$1,270,250 "
UAB,Nick Gentry,"$101,250 ","$8,437 ","$1,270,250 "
UAB,Kyle Tatum,"$101,250 ","$8,437 ","$1,270,250 "
Ohio,Allen Rudolph,"$101,052 ",--,"$1,069,963 "
Buffalo,Scott Fuchs,"$100,001 ",--,"$1,148,761 "
Texas State,Brett Dewhurst,"$100,000 ","$12,500 ","$1,306,725 "
Houston,Justin Johnson,"$100,000 ","$37,500 ","$2,925,000 "
Troy,Andrew Warwick,"$100,000 ","$12,500 ","$1,415,000 "
Florida International,Kenard Lang,"$100,000 ","$37,500 ","$1,661,122 "
Colorado State,George Helow,"$100,000 ","$21,667 ","$1,949,875 "
Louisiana Tech,Kenny Guiton,"$100,000 ",--,"$1,213,000 "
Bowling Green,Steve Morrison,"$100,000 ","$7,000 ","$925,860 "
Louisiana Tech,Jeff Burris,"$100,000 ",--,"$1,213,000 "
Charlotte,Sean Dawkins,"$100,000 ","$5,000 ","$1,220,500 "
Appalachian State,Ted Roof,"$100,000 ","$53,500 ","$1,144,990 "
Troy,Davern Williams,"$100,000 ","$12,500 ","$1,415,000 "
Southern Mississippi,Chris Boone,"$100,000 ","$8,333 ","$1,225,000 "
UL Lafayette,Michael Desormeaux,"$100,000 ","$8,333 ","$1,751,500 "
Old Dominion,Grady Brown,"$100,000 ",--,"$1,138,911 "
Texas-San Antonio,Deron Wilson,"$100,000 ","$20,000 ","$1,310,200 "
UL Monroe,Scott Stoker,"$100,000 ",--,"$940,000 "
Troy,Ray Brown,"$100,000 ","$12,500 ","$1,415,000 "
Florida Atlantic,Clint Trickett,"$100,000 ","$2,500 ","$1,255,000 "
UL Lafayette,D.J. Looney,"$100,000 ","$8,333 ","$1,751,500 "
New Mexico,Dillon Sanders,"$100,000 ",--,"$1,506,115 "
UL Monroe,Eman Naghavi,"$100,000 ",--,"$940,000 "
Florida Atlantic,DJ McCarthy,"$100,000 ","$2,500 ","$1,255,000 "
Fresno State,Roman Sapolu,"$100,000 ","$16,000 ","$2,000,000 "
Northern Illinois,Daryl Agpalsa,"$100,000 ",--,"$1,030,000 "
Miami (Ohio),Bill Brechin,"$99,614 ","$18,333 ","$1,099,612 "
Connecticut,Corey Edsall,"$98,325 ","$37,817 ","$1,810,875 "
Western Michigan,Joe Palcic,"$98,000 ","$5,000 ","$1,138,000 "
Marshall,Mike Treier,"$98,000 ","$16,167 ","$1,147,000 "
South Alabama,Josh Jones,"$97,500 ","$11,250 ","$1,242,200 "
South Alabama,Larry Hart,"$97,500 ","$11,250 ","$1,242,200 "
South Alabama,Harland Bower,"$97,500 ","$11,250 ","$1,242,200 "
Eastern Michigan,James Patton,"$97,000 ",--,"$1,011,515 "
Central Michigan,Mike Cummings,"$96,500 ",--,"$965,000 "
Western Michigan,Eric Evans,"$96,000 ","$5,000 ","$1,138,000 "
Kent State,Zac Barton,"$95,800 ",--,"$879,567 "
Toledo,Ross Watson,"$95,154 ",--,"$1,054,812 "
