SCHOOL,COACH,ASST TOTAL PAY,ASST BONUS,ASST PAY TOTAL
Hawaii,Abe Elimimian,--,--,--
Tulane,J.J. McCleskey,--,--,--
Army,Mike Krysl,--,--,--
Southern California,Chad Kauha'aha'a,--,--,--
Hawaii,Michael Ghobrial,--,--,--
Duke,Derek Jones,--,--,--
Wake Forest,Tyler Santucci,--,--,--
Navy,Billy Stutzmann,--,--,--
Stanford,Lance Anderson,--,--,--
Air Force,Jonathan Wallace,--,--,--
Southern California,Joe DeForest,--,--,--
Wake Forest,Brad Sherrod,--,--,--
Stanford,Tavita Pritchard,--,--,--
Tulane,Jack Curtis,--,--,--
Rice,Bill Best,--,--,--
Liberty,Scott Symons,--,--,--
Liberty,Maurice Harris,--,--,--
Notre Dame,Chip Long,--,--,--
Vanderbilt,Devin Fitzsimmons,--,--,--
Hawaii,Craig Stutzmann,--,--,--
Southern Methodist,Ra'Shaad Samples,--,--,--
Baylor,Shawn Bell,--,--,--
Wake Forest,Lyle Hemphill,--,--,--
Northwestern,Louis Ayeni,--,--,--
Tulsa,Luke Olson,--,--,--
Vanderbilt,Jovan Haye,--,--,--
Texas Christian,Zarnell Fitch,--,--,--
Duke,Jeffrey Faris,--,--,--
Syracuse,Nick Monroe,--,--,--
Wake Forest,Dave Cohen,--,--,--
Miami,Mike Rumph,--,--,--
Texas Christian,Jeremy Modkins,--,--,--
Syracuse,Kirk Martin,--,--,--
Rice,Mike Kershaw,--,--,--
Temple,Walter Stewart,--,--,--
Miami,Dan Enos,--,--,--
Stanford,Peter Hansen,--,--,--
Liberty,Tanner Burns,--,--,--
Air Force,Brian Knorr,--,--,--
Southern California,Graham Harrell,--,--,--
Syracuse,Vinson Reynolds,--,--,--
Tulane,Slade Nagle,--,--,--
Wake Forest,Nicholas Tabacca,--,--,--
Southern Methodist,Rhett Lashlee,--,--,--
Northwestern,Kurt Anderson,--,--,--
Southern California,Clancy Pendergast,--,--,--
Air Force,Chip Vaughn,--,--,--
Boston College,Brian White,--,--,--
Boston College,Jim Reid,--,--,--
Stanford,Duane Akina,--,--,--
Air Force,Mike Thiessen,--,--,--
Southern Methodist,Chris Brasfield,--,--,--
Army,Josh Christian-Young,--,--,--
Pittsburgh,Dave Borbely,--,--,--
Tulane,Coby Kennedy,--,--,--
Tulsa,Carlton Buckels,--,--,--
Army,John Loose,--,--,--
Army,Daryl Dixon,--,--,--
Duke,Matt Guerrieri,--,--,--
Duke,Jim Bridge,--,--,--
Stanford,Pete Alamar,--,--,--
Notre Dame,DelVaughn Alexander,--,--,--
Vanderbilt,Terrence Brown,--,--,--
Hawaii,Mark Banker,--,--,--
Navy,Ashley Ingram,--,--,--
Stanford,Morgan Turner,--,--,--
Boston College,Antoine Smith,--,--,--
Pittsburgh,Chris Beatty,--,--,--
Penn State,Ricky Rahne,--,--,--
Army,Matt Hachmann,--,--,--
Rice,Robbie Picazo,--,--,--
Southern California,John Baxter,--,--,--
Rice,Drew Svoboda,--,--,--
Tulane,Jeff Conway,--,--,--
Notre Dame,Lance Taylor,--,--,--
Northwestern,Matt MacPherson,--,--,--
Temple,Joe Tripodi,--,--,--
Stanford,Bobby Kennedy,--,--,--
Baylor,Marcus Satterfield,--,--,--
Hawaii,Ricky Logo,--,--,--
Vanderbilt,Tim Horton,--,--,--
Southern California,Keary Colbert,--,--,--
Wake Forest,Kevin Higgins,--,--,--
Brigham Young,Ilaisa Tuiaki,--,--,--
Baylor,Mike Siravo,--,--,--
Temple,Craig Harmon,--,--,--
Syracuse,Brian Ward,--,--,--
Penn State,Ja'Juan Seider,--,--,--
Notre Dame,Clark Lea,--,--,--
Hawaii,Andre Allen,--,--,--
Tulsa,Aaron Fletcher,--,--,--
Texas Christian,Malcolm Kelly,--,--,--
Southern California,Johnny Nansen,--,--,--
Tulsa,Justin Hill,--,--,--
Hawaii,Brian Smith,--,--,--
Navy,Jerrick Hall,--,--,--
Vanderbilt,Aaron Moorehead,--,--,--
Army,Mitch Ware,--,--,--
Duke,Trooper Taylor,--,--,--
Miami,Butch Barry,--,--,--
Syracuse,Reno Ferri,--,--,--
Duke,Re'quan Boyette,--,--,--
Navy,Ivin Jasper,--,--,--
Texas Christian,Curtis Luper,--,--,--
Brigham Young,Eric Mateos,--,--,--
Vanderbilt,Matt Weikert,--,--,--
Pittsburgh,Rob Harley,--,--,--
Temple,Melvin Rice,--,--,--
Pittsburgh,Charlie Partridge,--,--,--
Southern Methodist,Randall Joyner,--,--,--
Baylor,Glenn Thomas,--,--,--
Brigham Young,Aaron Roderick,--,--,--
Navy,Steve Johns,--,--,--
Miami,Eric Hickson,--,--,--
Tulane,Kevin Peoples,--,--,--
Baylor,Frank Okam,--,--,--
Army,Sean Saturnio,--,--,--
Texas Christian,Dan Sharp,--,--,--
Syracuse,Justin Lustig,--,--,--
Southern Methodist,Trey Haverty,--,--,--
Texas Christian,Jarrett Anderson,--,--,--
Army,Kevin Corless,--,--,--
Tulsa,Joseph Gillespie,--,--,--
Temple,Francis Brown,--,--,--
Navy,Robert Green,--,--,--
Boston College,Phil Trautwein,--,--,--
Brigham Young,Fesi Sitake,--,--,--
Tulsa,Mike Bloesch,--,--,--
Air Force,Jacob Campbell,--,--,--
Baylor,Joey McGuire,--,--,--
Wake Forest,John Hunter,--,--,--
Miami,Stephen Field,--,--,--
Tulsa,Jordan Najvar,--,--,--
Duke,Kirk Benedict,--,--,--
Army,Brent Davis,--,--,--
Miami,Ephraim Banda,--,--,--
Army,Tucker Waugh,--,--,--
Navy,Danny O'Rourke,--,--,--
Stanford,Ron Gould,--,--,--
Air Force,Ben Miller,--,--,--
Hawaii,Jacob Yoro,--,--,--
Boston College,Ricky Brown,--,--,--
Temple,Mike Uremovich,--,--,--
Liberty,Bruce Johnson,--,--,--
Liberty,Josh Aldridge,--,--,--
Boston College,Bill Sheridan,--,--,--
Air Force,Andre Morris,--,--,--
Penn State,Joe Lorig,--,--,--
Northwestern,Marty Long,--,--,--
Pittsburgh,Andre Powell,--,--,--
Miami,Taylor Stubblefield,--,--,--
Northwestern,Jeff Genyk,--,--,--
Boston College,Frank Leonard,--,--,--
Rice,Scott Vestal,--,--,--
Syracuse,Kim McCloud,--,--,--
Notre Dame,Tom Rees,--,--,--
Miami,Jonathan Patke,--,--,--
Boston College,Eric Lewis,--,--,--
Syracuse,Mike Cavanaugh,--,--,--
Southern California,Mike Jinks,--,--,--
Arizona,Chuck Cecil,--,--,"$2,990,000 "
Syracuse,Mike Lynch,--,--,--
Army,Pat Tresey,--,--,--
Brigham Young,Steve Clark,--,--,--
Tulane,Michael Mutz,--,--,--
Vanderbilt,Jason Tarver,--,--,--
Tulane,Chris Hampton,--,--,--
Tulsa,Jermial Ashley,--,--,--
Navy,Mick Yokitis,--,--,--
Miami,Todd Stroud,--,--,--
Penn State,Tyler Bowen,--,--,--
Rice,Jerry Mack,--,--,--
Brigham Young,Ed Lamb,--,--,--
Northwestern,Tim McGarigle,--,--,--
Pittsburgh,Mark Whipple,--,--,--
Rice,Gerard Wilcher,--,--,--
Texas Christian,Chris Thomsen,--,--,--
Liberty,Ricky Hunley,--,--,--
Southern Methodist,A.J. Ricker,--,--,--
Air Force,Alex Means,--,--,--
Miami,Blake Baker,--,--,--
Wake Forest,Ryan Crawford,--,--,--
Navy,Joe DuPaix,--,--,--
Army,Marcus Edwards,--,--,--
Liberty,Kent Austin,--,--,--
Pittsburgh,Randy Bates,--,--,--
Notre Dame,Brian Polian,--,--,--
Army,Mike Viti,--,--,--
Pittsburgh,Tim Salem,--,--,--
Penn State,Sean Spencer,--,--,--
Southern California,Greg Burns,--,--,--
Notre Dame,Todd Lyght,--,--,--
Northwestern,Mick McCall,--,--,--
Stanford,Kevin Carberry,--,--,--
Army,Kevin Lewis,--,--,--
Air Force,Steed Lobotzke,--,--,--
Liberty,Ben Aigamaua,--,--,--
Boston College,Mike Bajakian,--,--,--
Air Force,Jordan Eason,--,--,--
Penn State,Gerad Parker,--,--,--
Baylor,Jeff Nixon,--,--,--
Boston College,Rich Gunnell,--,--,--
Hawaii,Mark Weber,--,--,--
Navy,Brian Newberry,--,--,--
