Cohort Year,Year,School,Conference,Sport,State,GSR,FGR
2012,2018-2019,"Indiana University, Bloomington",Big Ten Conference,Football,IN,87,70
2012,2018-2019,Iowa State University,Big 12 Conference,Football,IA,87,66
2012,2018-2019,University of Iowa,Big Ten Conference,Football,IA,85,70
2012,2018-2019,Jackson State University,Southwestern Athletic Conf.,Football,MS,75,52
2012,2018-2019,Jacksonville State University,Ohio Valley Conference,Football,AL,67,56
2012,2018-2019,Jacksonville University,Pioneer Football League,Football,FL,76,
2012,2018-2019,James Madison University,Colonial Athletic Association,Football,VA,77,66
2012,2018-2019,Kansas State University,Big 12 Conference,Football,KS,85,69
2012,2018-2019,University of Kansas,Big 12 Conference,Football,KS,79,58
2012,2018-2019,Kent State University,Mid-American Conference,Football,OH,73,52
2012,2018-2019,University of Kentucky,Southeastern Conference,Football,KY,77,51
2012,2018-2019,Lafayette College,Patriot League,Football,PA,97,76
2012,2018-2019,Lamar University,Southland Conference,Football,TX,67,61
2012,2018-2019,Lehigh University,Patriot League,Football,PA,78,73
2012,2018-2019,Liberty University,Independent,Football,VA,67,65
2012,2018-2019,Louisiana State University,Southeastern Conference,Football,LA,71,31
2012,2018-2019,Louisiana Tech University,Conference USA,Football,LA,62,51
2012,2018-2019,University of Louisville,Atlantic Coast Conference,Football,KY,91,84
2012,2018-2019,University of Maine,Colonial Athletic Association,Football,ME,79,69
2012,2018-2019,Marist College,Pioneer Football League,Football,NY,80,100
2012,2018-2019,Marshall University,Conference USA,Football,WV,80,57
2012,2018-2019,"University of Maryland, College Park",Big Ten Conference,Football,MD,84,67
2012,2018-2019,"University of Massachusetts, Amherst",Independent,Football,MA,68,51
2012,2018-2019,McNeese State University,Southland Conference,Football,LA,75,75
2012,2018-2019,University of Memphis,American Athletic Conference,Football,TN,82,53
2012,2018-2019,Mercer University,Southern Conference,Football,GA,67,
2012,2018-2019,Miami University (Ohio),Mid-American Conference,Football,OH,89,77
2012,2018-2019,University of Miami (Florida),Atlantic Coast Conference,Football,FL,81,50
2012,2018-2019,Michigan State University,Big Ten Conference,Football,MI,90,78
2012,2018-2019,University of Michigan,Big Ten Conference,Football,MI,91,72
2012,2018-2019,Middle Tennessee State University,Conference USA,Football,TN,95,76
2012,2018-2019,"University of Minnesota, Twin Cities",Big Ten Conference,Football,MN,91,76
2012,2018-2019,Mississippi State University,Southeastern Conference,Football,MS,78,69
2012,2018-2019,Mississippi Valley State University,Southwestern Athletic Conf.,Football,MS,88,44
2012,2018-2019,University of Mississippi,Southeastern Conference,Football,MS,69,52
2012,2018-2019,"University of Missouri, Columbia",Southeastern Conference,Football,MO,83,68
2012,2018-2019,Monmouth University,Big South Conference,Football,NJ,78,67
2012,2018-2019,Montana State University-Bozeman,Big Sky Conference,Football,MT,76,62
2012,2018-2019,University of Montana,Big Sky Conference,Football,MT,70,57
2012,2018-2019,Morehead State University,Pioneer Football League,Football,KY,64,
2012,2018-2019,Morgan State University,Mid-Eastern Athletic Conf.,Football,MD,59,55
2012,2018-2019,Murray State University,Ohio Valley Conference,Football,KY,86,56
2012,2018-2019,"University of North Carolina, Chapel Hill",Atlantic Coast Conference,Football,NC,70,59
2012,2018-2019,The University of North Carolina at Charlotte,Conference USA,Football,NC,80,
2012,2018-2019,"University of Nebraska, Lincoln",Big Ten Conference,Football,NE,89,69
2012,2018-2019,"University of Nevada, Las Vegas",Mountain West Conference,Football,NV,63,60
2012,2018-2019,"University of Nevada, Reno",Mountain West Conference,Football,NV,73,45
2012,2018-2019,University of New Hampshire,Colonial Athletic Association,Football,NH,98,85
2012,2018-2019,New Mexico State University,Independent,Football,NM,74,52
2012,2018-2019,University of New Mexico,Mountain West Conference,Football,NM,62,38
2012,2018-2019,Nicholls State University,Southland Conference,Football,LA,73,62
2012,2018-2019,Norfolk State University,Mid-Eastern Athletic Conf.,Football,VA,67,58
2012,2018-2019,University of North Alabama,Independent,Football,AL,41,30
2012,2018-2019,North Carolina A&T State University,Mid-Eastern Athletic Conf.,Football,NC,59,52
2012,2018-2019,North Carolina Central University,Mid-Eastern Athletic Conf.,Football,NC,68,45
2012,2018-2019,North Carolina State University,Atlantic Coast Conference,Football,NC,71,54
2012,2018-2019,North Dakota State University,Missouri Valley Football Conference,Football,ND,70,55
2012,2018-2019,University of North Dakota,Independent,Football,ND,63,52
2012,2018-2019,University of North Texas,Conference USA,Football,TX,83,61
2012,2018-2019,University of Louisiana Monroe,Sun Belt Conference,Football,LA,76,64
2012,2018-2019,Northern Arizona University,Big Sky Conference,Football,AZ,82,60
2012,2018-2019,University of Northern Colorado,Big Sky Conference,Football,CO,82,61
2012,2018-2019,Northern Illinois University,Mid-American Conference,Football,IL,88,67
2012,2018-2019,University of Northern Iowa,Missouri Valley Football Conference,Football,IA,74,54
2012,2018-2019,Northwestern State University,Southland Conference,Football,LA,76,61
2012,2018-2019,Northwestern University,Big Ten Conference,Football,IL,100,93
2012,2018-2019,University of Notre Dame,Independent,Football,IN,92,84
2012,2018-2019,The Ohio State University,Big Ten Conference,Football,OH,63,45
2012,2018-2019,Ohio University,Mid-American Conference,Football,OH,86,69
2012,2018-2019,Oklahoma State University,Big 12 Conference,Football,OK,54,42
2012,2018-2019,University of Oklahoma,Big 12 Conference,Football,OK,73,53
